,Wavelength,V1,V2,Gain,Out
0,480,4.8581,0.6,1,-0.2398437499999999
1,480,4.8581,0.6251336898395722,1,0.11715625
2,480,4.8581,0.6502673796791444,1,0.080046875
3,480,4.8581,0.6754010695187166,1,-0.013781250000000078
4,480,4.8581,0.7005347593582888,1,0.086453125
5,480,4.8581,0.7256684491978609,1,0.11559375000000001
6,480,4.8581,0.7508021390374331,1,0.1090625
7,480,4.8581,0.7759358288770053,1,0.09128125000000001
8,480,4.8581,0.8010695187165775,1,0.11478125
9,480,4.8581,0.8262032085561497,1,0.114546875
10,480,4.8581,0.8513368983957219,1,0.11015625
11,480,4.8581,0.8764705882352941,1,0.114390625
12,480,4.8581,0.9016042780748663,1,0.113984375
13,480,4.8581,0.9267379679144385,1,0.11471875000000001
14,480,4.8581,0.9518716577540107,1,0.113625
15,480,4.8581,0.9770053475935829,1,0.1125
16,480,4.8581,1.0021390374331551,1,0.113046875
17,480,4.8581,1.0272727272727273,1,0.10075
18,480,4.8581,1.0524064171122995,1,0.11246875
19,480,4.8581,1.0775401069518717,1,0.11171875
20,480,4.8581,1.1026737967914437,1,0.11226562500000001
21,480,4.8581,1.1278074866310162,1,0.110859375
22,480,4.8581,1.1529411764705881,1,0.11181250000000001
23,480,4.8581,1.1780748663101606,1,0.10609375
24,480,4.8581,1.2032085561497325,1,0.11164062500000001
25,480,4.8581,1.228342245989305,1,0.11096875
26,480,4.8581,1.253475935828877,1,0.11156250000000001
27,480,4.8581,1.2786096256684492,1,0.111125
28,480,4.8581,1.3037433155080214,1,0.110640625
29,480,4.8581,1.3288770053475936,1,0.143609375
30,480,4.8581,1.3540106951871658,1,0.10475
31,480,4.8581,1.379144385026738,1,0.11146875
32,480,4.8581,1.4042780748663102,1,0.10965625
33,480,4.8581,1.4294117647058824,1,0.1375625
34,480,4.8581,1.4545454545454546,1,0.112421875
35,480,4.8581,1.4796791443850268,1,0.111296875
36,480,4.8581,1.504812834224599,1,0.111
37,480,4.8581,1.5299465240641712,1,0.09576562500000001
38,480,4.8581,1.5550802139037434,1,0.110203125
39,480,4.8581,1.5802139037433154,1,0.10910937500000001
40,480,4.8581,1.6053475935828878,1,0.10828125
41,480,4.8581,1.6304812834224598,1,0.110671875
42,480,4.8581,1.6556149732620322,1,0.10948437500000001
43,480,4.8581,1.6807486631016042,1,0.107625
44,480,4.8581,1.7058823529411766,1,0.11181250000000001
45,480,4.8581,1.7310160427807486,1,0.10984375
46,480,4.8581,1.756149732620321,1,0.2909375
47,480,4.8581,1.781283422459893,1,0.291375
48,480,4.8581,1.8064171122994654,1,0.29126562500000003
49,480,4.8581,1.8315508021390374,1,0.256359375
50,480,4.8581,1.8566844919786099,1,0.2915625
51,480,4.8581,1.8818181818181818,1,0.268515625
52,480,4.8581,1.9069518716577543,1,0.29140625000000003
53,480,4.8581,1.9320855614973262,1,0.29153125
54,480,4.8581,1.9572192513368982,1,0.29171875
55,480,4.8581,1.9823529411764707,1,0.291515625
56,480,4.8581,2.0074866310160426,1,0.291921875
57,480,4.8581,2.032620320855615,1,0.2901875
58,480,4.8581,2.057754010695187,1,0.29215625
59,480,4.8581,2.0828877005347595,1,0.292421875
60,480,4.8581,2.1080213903743314,1,0.270078125
61,480,4.8581,2.133155080213904,1,0.292296875
62,480,4.8581,2.158288770053476,1,0.257625
63,480,4.8581,2.1834224598930483,1,0.29276562500000003
64,480,4.8581,2.2085561497326203,1,0.293
65,480,4.8581,2.2336898395721927,1,0.293515625
66,480,4.8581,2.2588235294117647,1,0.292625
67,480,4.8581,2.283957219251337,1,0.293828125
68,480,4.8581,2.309090909090909,1,0.294046875
69,480,4.8581,2.3342245989304815,1,0.2946875
70,480,4.8581,2.3593582887700535,1,0.294921875
71,480,4.8581,2.384491978609626,1,0.20229687500000001
72,480,4.8581,2.409625668449198,1,0.295359375
73,480,4.8581,2.4347593582887703,1,0.222953125
74,480,4.8581,2.4598930481283423,1,0.29678125
75,480,4.8581,2.4850267379679143,1,0.214703125
76,480,4.8581,2.5101604278074867,1,0.298296875
77,480,4.8581,2.5352941176470587,1,0.298140625
78,480,4.8581,2.560427807486631,1,0.29996875
79,480,4.8581,2.585561497326203,1,0.30028125
80,480,4.8581,2.6106951871657755,1,0.303328125
81,480,4.8581,2.635828877005348,1,0.30334375
82,480,4.8581,2.66096256684492,1,0.307078125
83,480,4.8581,2.6860962566844924,1,0.308203125
84,480,4.8581,2.7112299465240643,1,0.309234375
85,480,4.8581,2.7363636363636368,1,0.31271875
86,480,4.8581,2.7614973262032088,1,0.259234375
87,480,4.8581,2.7866310160427807,1,0.320734375
88,480,4.8581,2.811764705882353,1,0.323734375
89,480,4.8581,2.836898395721925,1,0.32784375
90,480,4.8581,2.8620320855614976,1,0.34073437500000003
91,480,4.8581,2.8871657754010696,1,0.342703125
