,Wavelength,V1,V2,Out
0,540,1.0,1.0,-0.3031250000000001
1,540,1.3877551020408163,1.0,-0.30309374999999994
2,540,1.7755102040816326,1.0,-0.30260937500000007
3,540,2.163265306122449,1.0,-0.3005
4,540,2.5510204081632653,1.0,-0.29514062499999993
5,540,2.9387755102040813,1.0,0.054640625
6,540,3.326530612244898,1.0,2.00803125
7,540,3.7142857142857144,1.0,2.047984375
8,540,4.1020408163265305,1.0,2.047984375
9,540,4.489795918367347,1.0,2.047984375
10,540,4.877551020408163,1.0,0.4015
11,540,5.26530612244898,1.0,-0.33143750000000005
12,540,5.653061224489796,1.0,-0.3565625000000001
13,540,6.040816326530612,1.0,-0.3593593749999999
14,540,6.428571428571429,1.0,-0.3560937500000001
15,540,6.816326530612245,1.0,-0.34839062499999995
16,540,7.204081632653061,1.0,-0.33699999999999997
17,540,7.591836734693877,1.0,-0.31653124999999993
18,540,7.979591836734693,1.0,-0.2250000000000001
19,540,8.36734693877551,1.0,1.33084375
20,540,8.755102040816325,1.0,2.047984375
21,540,9.142857142857142,1.0,2.047984375
22,540,9.53061224489796,1.0,2.047984375
23,540,9.918367346938775,1.0,2.047984375
24,540,10.306122448979592,1.0,2.047984375
25,540,10.693877551020408,1.0,2.047984375
26,540,11.081632653061224,1.0,2.047984375
27,540,11.46938775510204,1.0,2.047984375
28,540,11.857142857142858,1.0,2.047984375
29,540,12.244897959183673,1.0,2.047984375
30,540,12.63265306122449,1.0,2.047984375
31,540,13.020408163265305,1.0,2.047984375
32,540,13.408163265306122,1.0,2.047984375
33,540,13.795918367346939,1.0,2.047984375
34,540,14.183673469387754,1.0,2.047984375
35,540,14.571428571428571,1.0,2.047984375
36,540,14.959183673469386,1.0,2.047984375
37,540,15.346938775510203,1.0,2.047984375
38,540,15.73469387755102,1.0,2.047984375
39,540,16.122448979591837,1.0,2.047984375
40,540,16.51020408163265,1.0,2.047984375
41,540,16.89795918367347,1.0,2.047984375
42,540,17.285714285714285,1.0,2.047984375
43,540,17.6734693877551,1.0,2.047984375
44,540,18.06122448979592,1.0,2.047984375
45,540,18.448979591836736,1.0,2.047984375
46,540,18.83673469387755,1.0,2.047984375
47,540,19.224489795918366,1.0,2.047984375
48,540,19.612244897959183,1.0,2.047984375
49,540,20.0,1.0,2.047984375
50,540,1.0,1.0,0.455796875
51,540,1.0,1.3877551020408163,-0.3029843750000001
52,540,1.0,1.7755102040816326,-0.3032187500000001
53,540,1.0,2.163265306122449,-0.30332812499999995
54,540,1.0,2.5510204081632653,-0.30528124999999995
55,540,1.0,2.9387755102040813,-0.30914062499999995
56,540,1.0,3.326530612244898,-0.31699999999999995
57,540,1.0,3.7142857142857144,-0.32285937499999995
